KWW KRZYSZTOF KALINOWSKI;1;1;KALINOWSKI Krzysztof;Strzegom;50
KWW KRZYSZTOF KALINOWSKI;1;2;NOWACKA-WOŁCZEK Jagoda Karolina;Strzegom;36
KWW KRZYSZTOF KALINOWSKI;1;3;ADASIK Łukasz Józef;Strzegom;38
KWW KRZYSZTOF KALINOWSKI;1;4;WOLARCZYK Anna Kamila;Strzegom;45
KWW KRZYSZTOF KALINOWSKI;1;5;CIEŚLIŃSKA-NIECZYPORUK Wioletta Marzena;Strzegom;44
KWW KRZYSZTOF KALINOWSKI;1;6;BUCZYK Andrzej;Strzegom;23
KWW KRZYSZTOF KALINOWSKI;1;7;REPELOWSKI Maciej;Strzegom;53
KWW KRZYSZTOF KALINOWSKI;1;8;KISIELEWICZ Władysław Józef;Strzegom;48
KWW KRZYSZTOF KALINOWSKI;2;1;ŚLĄZAK Robert;Strzegom;60
KWW KRZYSZTOF KALINOWSKI;2;2;MIKULEC Anna;Strzegom;40
KWW KRZYSZTOF KALINOWSKI;2;3;KIEŁBASA Robert Piotr;Strzegom;52
KWW KRZYSZTOF KALINOWSKI;2;4;SKOLAK Aleksandra;Strzegom;46
KWW KRZYSZTOF KALINOWSKI;2;5;ZYGADŁO Jarosław Paweł;Strzegom;38
KWW KRZYSZTOF KALINOWSKI;2;6;POTOCZNY Anna Bogumiła;Strzegom;41
KWW KRZYSZTOF KALINOWSKI;2;7;CHWAŁA Krzysztof Jan;Strzegom;23
KWW KRZYSZTOF KALINOWSKI;2;8;NAJDA-LAMKA Renata Magdalena;Strzegom;46
KWW KRZYSZTOF KALINOWSKI;2;9;FORNAL Kamil Łukasz;Strzegom;41
KWW KRZYSZTOF KALINOWSKI;3;1;DZIURLA Tomasz Adam;Jaroszów;51
KWW KRZYSZTOF KALINOWSKI;3;2;JEZIORSKI Tomasz Robert;Piotr;43
KWW KRZYSZTOF KALINOWSKI;3;3;BUDA Wioleta Edyta;Granica;40
KWW KRZYSZTOF KALINOWSKI;3;4;ŚLĘCZKOWSKI Jacek Artur;Goczałków;48
KWW KRZYSZTOF KALINOWSKI;3;5;FIGURAK Jan Andrzej;Olszany;42
KWW KRZYSZTOF KALINOWSKI;3;6;GOLEC Karolina Agnieszka;Strzegom;35
KWW KRZYSZTOF KALINOWSKI;3;7;CZUB Katarzyna Patrycja;Międzyrzecze;31
KWW KRZYSZTOF KALINOWSKI;3;8;BURKIEWICZ Magdalena Maria;Stanowice;41
KWW KRZYSZTOF KALINOWSKI;3;9;SMYDA Krzysztof Arkadiusz;Morawa;21
KWW KRZYSZTOF KALINOWSKI;3;10;RODAK Andrzej Grzegorz;Bartoszówek;34
KWW ZBIGNIEW SUCHYTA;1;1;SUCHYTA Zbigniew Tadeusz;Strzegom;64
KWW ZBIGNIEW SUCHYTA;1;2;ASYNGER Roman Karol;Strzegom;65
KWW ZBIGNIEW SUCHYTA;1;3;SKÓRA Bogumiła;Strzegom;72
KWW ZBIGNIEW SUCHYTA;1;4;KUDYBA Justyna Małgorzata;Strzegom;51
KWW ZBIGNIEW SUCHYTA;1;5;GOLIŃSKA Sandra Weronika;Strzegom;32
KWW ZBIGNIEW SUCHYTA;1;6;CHOJNACKI Tomasz;Strzegom;53
KWW ZBIGNIEW SUCHYTA;1;7;SOBUSIAK Marcin Remigiusz;Strzegom;43
KWW ZBIGNIEW SUCHYTA;1;8;MOSÓR Renata;Strzegom;55
KWW ZBIGNIEW SUCHYTA;2;1;RUDNICKI Paweł Mariusz;Strzegom;47
KWW ZBIGNIEW SUCHYTA;2;2;KWAŚNICKA Dorota Bogusława;Strzegom;55
KWW ZBIGNIEW SUCHYTA;2;3;ZASIŃSKA Eugenia Sonia;Strzegom;85
KWW ZBIGNIEW SUCHYTA;2;4;KUDYBA Zdzisław Stanisław;Strzegom;57
KWW ZBIGNIEW SUCHYTA;2;5;MICHELLA Anita Lucyna;Strzegom;54
KWW ZBIGNIEW SUCHYTA;2;6;PYSZKA Łukasz Aleksander;Strzegom;37
KWW ZBIGNIEW SUCHYTA;2;7;FORNAL Andrzej;Strzegom;55
KWW ZBIGNIEW SUCHYTA;2;8;CZUK Olga;Strzegom;34
KWW ZBIGNIEW SUCHYTA;2;9;SMYK Barbara;Strzegom;58
KWW ZBIGNIEW SUCHYTA;3;1;ŻMIJEWSKI Ryszard Tadeusz;Wieśnica;66
KWW ZBIGNIEW SUCHYTA;3;2;GÓRSKA Stanisława;Olszany;73
KWW ZBIGNIEW SUCHYTA;3;3;GOŁĄB Paweł;Strzegom;49
KWW ZBIGNIEW SUCHYTA;3;4;GRONDOWSKI Krzysztof Józef;Goczałków;52
KWW ZBIGNIEW SUCHYTA;3;5;ZABOROWSKA Paulina;Kostrza;33
KWW ZBIGNIEW SUCHYTA;3;6;BODZIANY Angelika Anna;Granica;30
KWW ZBIGNIEW SUCHYTA;3;7;KOŁODYŃSKI Maciej;Godzieszówek;49
KWW ZBIGNIEW SUCHYTA;3;8;HORDYŃSKA Agnieszka;Bartoszówek;39
KWW ZBIGNIEW SUCHYTA;3;9;POLIKOWSKA Agnieszka;Graniczna;46
KWW ZBIGNIEW SUCHYTA;3;10;BRAŃKA Bożena Zofia;Rusko;63
KWW TOMASZ MARCZAK;1;1;DURLIK Paweł;Strzegom;51
KWW TOMASZ MARCZAK;1;2;CHYŁEK Robert;Strzegom;55
KWW TOMASZ MARCZAK;1;3;CHĘCIŃSKA Małgorzata;Strzegom;40
KWW TOMASZ MARCZAK;1;4;MATUSIAK Agnieszka Krystyna;Strzegom;36
KWW TOMASZ MARCZAK;1;5;KASZUB Krzysztof Grzegorz;Strzegom;58
KWW TOMASZ MARCZAK;1;6;MIELCAREK Dominik Rafał;Strzegom;41
KWW TOMASZ MARCZAK;1;7;SZYMAŃSKI Dariusz;Strzegom;49
KWW TOMASZ MARCZAK;1;8;IBEK Ewa;Strzegom;40
KWW TOMASZ MARCZAK;2;1;MARCZAK Tomasz Kamil;Strzegom;49
KWW TOMASZ MARCZAK;2;2;WŁODARCZYK Cezary Leszek;Strzegom;57
KWW TOMASZ MARCZAK;2;3;KOZŁOWSKA Monika;Strzegom;50
KWW TOMASZ MARCZAK;2;4;FLAMAN Janusz Ignacy;Strzegom;49
KWW TOMASZ MARCZAK;2;5;MROZIK Aneta Agnieszka;Strzegom;49
KWW TOMASZ MARCZAK;2;6;SOCHA Marek Stanisław;Strzegom;77
KWW TOMASZ MARCZAK;2;7;TYNIECKA Wiktoria;Strzegom;22
KWW TOMASZ MARCZAK;2;8;WYSOCKA Anna Dorota;Strzegom;52
KWW TOMASZ MARCZAK;2;9;KLONOWSKA Janina Halina;Strzegom;65
KWW TOMASZ MARCZAK;3;1;SZMIDT Piotr Jakub;Stanowice;59
KWW TOMASZ MARCZAK;3;2;LEWICKA Krystyna Teresa;Jaroszów;62
KWW TOMASZ MARCZAK;3;3;SZCZEPANIK Andrzej Antoni;Tomkowice;68
KWW TOMASZ MARCZAK;3;4;ROGOŻA Joanna Mariola;Strzegom;43
KWW TOMASZ MARCZAK;3;5;RÓG Monika;Żółkiewka;51
KWW TOMASZ MARCZAK;3;6;ZAWIŁA Ilona Helena;Goczałków Górny;47
KWW TOMASZ MARCZAK;3;7;SZEWCZYK Łukasz;Strzegom;35
KWW TOMASZ MARCZAK;3;8;SOŁTYSIK Czesław;Żelazów;67
KWW TOMASZ MARCZAK;3;9;CHOLEWA Zofia;Olszany;69
KWW TOMASZ MARCZAK;3;10;JANKOWSKA Justyna;Modlęcin;44
KWW LECHA MARKIEWICZA;1;1;MARKIEWICZ Lech;Strzegom;69
KWW LECHA MARKIEWICZA;1;2;OSTROWSKA Małgorzata Joanna;Żółkiewka;34
KWW LECHA MARKIEWICZA;1;3;MAJEWSKI Jerzy;Strzegom;62
KWW LECHA MARKIEWICZA;1;4;RYCHLIK Laura Magdalena;Strzegom;50
KWW LECHA MARKIEWICZA;1;5;WOŹNIAK Małgorzata Sylwia;Strzegom;48
KWW LECHA MARKIEWICZA;1;6;UMER Mariusz Aleksander;Strzegom;41
KWW LECHA MARKIEWICZA;1;7;JĘDRUSIK Monika;Strzegom;26
KWW LECHA MARKIEWICZA;1;8;SZCZEPANOWSKA Edyta;Strzegom;50
KWW LECHA MARKIEWICZA;2;1;NABIAŁEK Ryszard;Strzegom;67
KWW LECHA MARKIEWICZA;2;2;SAWKO-BIZOŃ Justyna Małgorzata;Strzegom;35
KWW LECHA MARKIEWICZA;2;3;FIGURSKI Jarosław Kamil;Strzegom;35
KWW LECHA MARKIEWICZA;2;4;STOPYRA Ewa;Strzegom;48
KWW LECHA MARKIEWICZA;2;5;SIEKANIEC Katarzyna Joanna;Strzegom;26
KWW LECHA MARKIEWICZA;2;6;ŚWISTEK Michał;Strzegom;28
KWW LECHA MARKIEWICZA;2;7;WŁODARCZYK Joanna Małgorzata;Strzegom;64
KWW LECHA MARKIEWICZA;3;1;CZYCZERSKI Edward Józef;Wieśnica;62
KWW LECHA MARKIEWICZA;3;2;TUŁODZIECKA Renata;Goczałków;46
KWW LECHA MARKIEWICZA;3;3;WOŁOWIEC Remigiusz Mikołaj;Jaroszów;40
KWW LECHA MARKIEWICZA;3;4;PAWLIK Monika Sylwia;Olszany;45
KWW LECHA MARKIEWICZA;3;5;ZIĘBA Kamil Łukasz;Granica;39
KWW LECHA MARKIEWICZA;3;6;CZEKAJŁO Alicja;Goczałków Górny;63
KWW LECHA MARKIEWICZA;3;7;BANASZAK Alicja Anna;Tomkowice;48
KWW LECHA MARKIEWICZA;3;8;RAKOWSKA Adrianna Zofia;Rogoźnica;22
KWW LECHA MARKIEWICZA;3;9;KOWALCZYK Katarzyna;Olszany;55
KWW LECHA MARKIEWICZA;3;10;ZDRAL Jarosław Henryk;Strzegom;39
KW PRAWO I SPRAWIEDLIWOŚĆ;1;1;NIEPSUJ Leszek Antoni;Strzegom;66
KW PRAWO I SPRAWIEDLIWOŚĆ;1;2;LASKA Rafał;Strzegom;46
KW PRAWO I SPRAWIEDLIWOŚĆ;1;3;KOGUT Dorota;Strzegom;46
KW PRAWO I SPRAWIEDLIWOŚĆ;1;4;WIERZBICKA Bogusława Maria;Strzegom;62
KW PRAWO I SPRAWIEDLIWOŚĆ;1;5;KLIMALA Joanna Ewa;Strzegom;52
KW PRAWO I SPRAWIEDLIWOŚĆ;1;6;SZWED Tomasz Łukasz;Strzegom;37
KW PRAWO I SPRAWIEDLIWOŚĆ;1;7;BELICA Magdalena Sylwia;Strzegom;43
KW PRAWO I SPRAWIEDLIWOŚĆ;1;8;RODZEŃ Renata;Strzegom;32
KW PRAWO I SPRAWIEDLIWOŚĆ;2;1;GÓRA Marian Jan;Strzegom;60
KW PRAWO I SPRAWIEDLIWOŚĆ;2;2;WÓJCIK Maria;Strzegom;74
KW PRAWO I SPRAWIEDLIWOŚĆ;2;3;WOŹNIAK Krzysztof Stanisław;Strzegom;65
KW PRAWO I SPRAWIEDLIWOŚĆ;2;4;KUŹMA Józef;Strzegom;78
KW PRAWO I SPRAWIEDLIWOŚĆ;2;5;BODZIANY Rafał;Strzegom;46
KW PRAWO I SPRAWIEDLIWOŚĆ;2;6;GRYNIEWICZ Anna Regina;Strzegom;43
KW PRAWO I SPRAWIEDLIWOŚĆ;2;7;WOŚKO Maria;Strzegom;65
KW PRAWO I SPRAWIEDLIWOŚĆ;2;8;TELEGA Daniela Jadwiga;Strzegom;73
KW PRAWO I SPRAWIEDLIWOŚĆ;2;9;FRANCZAK Krystyna Maria;Strzegom;69
KW PRAWO I SPRAWIEDLIWOŚĆ;3;1;KOŁODZIEJ Zbigniew Witold;Jaroszów;50
KW PRAWO I SPRAWIEDLIWOŚĆ;3;2;CHMIEL Mieczysław;Goczałków;65
KW PRAWO I SPRAWIEDLIWOŚĆ;3;3;KOLANO Marek Ryszard;Jaroszów;68
KW PRAWO I SPRAWIEDLIWOŚĆ;3;4;KARDELA Aleksandra Krystyna;Strzegom;26
KW PRAWO I SPRAWIEDLIWOŚĆ;3;5;ADAMOWICZ Jerzy Jan;Morawa;54
KW PRAWO I SPRAWIEDLIWOŚĆ;3;6;PODSIADŁO Elżbieta;Rogoźnica;67
KW PRAWO I SPRAWIEDLIWOŚĆ;3;7;DAWIDOWSKA Grażyna;Godzieszówek;59
KW PRAWO I SPRAWIEDLIWOŚĆ;3;8;PERHUN Martyna Kamila;Żółkiewka;25
KW PRAWO I SPRAWIEDLIWOŚĆ;3;9;LEITNER Czesława Teresa;Strzegom;72
KWW WWITKOWSKI;1;1;SOCHOCKA-SUCHARA Izabela Marta;Strzegom;46
KWW WWITKOWSKI;1;2;DOBROCHOWSKI Marek Adam;Strzegom;41
KWW WWITKOWSKI;1;3;KAROŃ Kamila Monika;Strzegom;32
KWW WWITKOWSKI;1;4;JASZOWSKI Krystian;Strzegom;26
KWW WWITKOWSKI;1;5;KIMMEL Małgorzata Anna;Strzegom;42
KWW WWITKOWSKI;1;6;CZYCZERSKI Tomasz Piotr;Strzegom;32
KWW WWITKOWSKI;1;7;WRÓBEL Maksymiliana Weronika;Strzegom;34
KWW WWITKOWSKI;1;8;JANKOWSKA Natalia Katarzyna;Strzegom;25
KWW WWITKOWSKI;2;1;WÓJTOWICZ Iwona Anna;Strzegom;52
KWW WWITKOWSKI;2;2;WITKOWSKI Wiesław Robert;Strzegom;50
KWW WWITKOWSKI;2;3;MAŃSKA Gabriela Mariola;Strzegom;51
KWW WWITKOWSKI;2;4;WÓJTOWICZ Robert Przemysław;Strzegom;50
KWW WWITKOWSKI;2;5;LENC Joanna;Strzegom;44
KWW WWITKOWSKI;2;6;OLIWA Michał Robert;Strzegom;20
KWW WWITKOWSKI;2;7;GOŁĘBIOWSKA Ewelina Barbara;Strzegom;33
KWW WWITKOWSKI;2;8;RODAK Mateusz Paweł;Strzegom;33
KWW WWITKOWSKI;2;9;BERESTECKI Norbert;Strzegom;23
KWW WWITKOWSKI;3;1;HAŁAJEC Małgorzata;Rogoźnica;50
KWW WWITKOWSKI;3;2;CZAPLA Michał Szymon;Jaroszów;36
KWW WWITKOWSKI;3;3;BARWAŚNA Beata;Strzegom;52
KWW WWITKOWSKI;3;4;GIL Łukasz Marcin;Olszany;42
KWW WWITKOWSKI;3;5;CZARKA Ewa Magdalena;Granica;40
KWW WWITKOWSKI;3;6;CICHOŃ Katarzyna;Stanowice;32
KWW WWITKOWSKI;3;7;IWANICKA Monika Katarzyna;Goczałków;44
KWW WWITKOWSKI;3;8;WOCH Wojciech Jakub;Bartoszówek;34
KWW WWITKOWSKI;3;9;WITKOWSKA Anita;Międzyrzecze;37
KWW WWITKOWSKI;3;10;WÓJTOWICZ Dawid Michał;Kostrza;22
